daughter	dbo:child
married to	dbp:spouse
governed	dbp:rulingParty
tall	dbo:height
war	dbo:battle
join the EU	dbp:accessioneudate
mayor	dbo:leaderName
alive	dbo:deathDate
die from dbo:deathCause
wife	dbo:spouse
website	foaf:homepage
first season	dbo:seasonNumber
first name	foaf:givenName
higher	dbp:elevationM
created	dbo:author
spoken	dbo:language	dbo:spokenIn
own	dbo:keyPerson
written dbo:author
movie	dbo:starring	dbo:Film
highest	dbo:elevation
inhabitant	dbo:populationTotal
mayor	dbo:leader
total amount of men and women	dbp:strength
produce	dbp:manufacturer	dbp:assembly
car	dbo:Automobile
Conflict	dbo:battle
husband	dbp:spouse
professional	dbo:occupation	dbpedia2:occupation
ruling party	dbp:leaderParty
dwelt	dbp:abode
called after	dbp:shipNamesake
win	dbo:award
called	dbp:nickname	dbp:alias	foaf:givenName
page	dbo:numberOfPages
bury	dbo:restingPlace	dbo:Settlement
abbreviation	dbp:postalabbreviation
paint	dbp:artist
military conflict	dbo:battle
video game	dbo:Software
found	dbo:foundationPlace
inhabitant	prop:populationUrban	dbp:population
entrance	dbo:numberOfEntrances
own	dbo:keyPerson
music	dbo:Single
company	dbo:Organisation
actress	dbo:Actor
country start dbo:sourceCountry
border	dbpedia2:north	dbpedia2:south	dbpedia2:southeast	dbpedia2:east	dbpedia2:west	dbpedia2:design
same type	dbp:accessioneudate
