spokenin	dbo:language,dbo:spokenIn	region,spoken in,OfficialLang,Language,language,official languages,official language,Languages
called after	dbp:shipNamesake	Ship badge,Ship length,Ship tonnage,Ship speed,Ship namesake,Ship built,Ship in service,builder,homeport,Ship route,Ship builder,country,Ship country,Ship name,Ship crew,owner,Ship registry,Ship launched,Ship operator,Ship homeport
higher	dbp:elevationM	elevation m
wrote	dbo:author	author,cover artist,source,illustrator,developer,book,owner,generator,language,writer,license
spoken	dbo:language	OfficialLang,Language,language,official languages,official language,Languages
dwelt	dbp:abode	region,God of,location,Abode
alive	dbo:deathDate	reign,death date
created	dbo:author	author,cover artist,source,illustrator,developer,book,owner,generator,language,writer,license
page	dbo:numberOfPages	pages,number of pages,notes
when	dbo:date	Dates,dates,particular date,escort,day of the month,date,appointment,engagement
official language	dbo:language	OfficialLang,official language,Languages
