spokenin	dbo:language,dbo:spokenIn	region,spoken in,region ,OfficialLang,Language,language,official language,Languages
called after	dbp:shipNamesake	Ship badge,Ship length,Ship tonnage,Ship speed,Ship built,Ship in service,builder,homeport,Ship route,country,Ship builder,Ship country,Ship name,owner,Ship registry,Ship launched,Ship operator,Ship homeport
higher	dbp:elevationM	elevation (μ),elevation ft,latm
wrote	dbo:author	author,cover artist,source,illustrator,developer,book,owner,generator,language,writer,license
spoken	dbo:language	OfficialLang,Language,language,official language,Languages
dwelt	dbp:abode	region,God of,Abode
alive	dbo:deathDate	reign,death date,DATE OF DEATH
created	dbo:author	author,cover artist,source,illustrator,developer,book,owner,generator,language,writer,license
page	dbo:numberOfPages	pages,number of pages,notes
when	dbo:date	HbMdate,dates,particular date,escort,day of the month,date,appointment,engagement
wife 	dbo:spouse	PLACE OF BIRTH,successor,birth place,before,parent,better half,party,known for,predecessor,after,regent,child,alma mater,spouse,death place,partner,married person,mate
official language	dbo:language	OfficialLang,Language,language,official language,Languages
produce 	dbp:assembly	LokSabha,forum,safety points,engine,assembly,Tehsils,fabrication,transmission,assemblage,Sep precipitation days,meeting place,Jun precipitation days,related mean of transportation,gathering
