car	dbo:Automobile	PuBlic hire,American Motor Corporation,automotive technologies,Vehicles introduCED in 1925,station wagons,American Motor Company,Minicabs,Leyland TruCks vehicles,kei cars,Defunct motor vehicle manuFACturers of Germany,Companies disestablished in 1912,McLaren vehicles,Modern military vehicles,Honda transmissions,Formula Junior cars,truCks,Borg-Warner transmissions,Tesla Motors vehicles,Cars of South Africa,Vehicles introduCED in 1930,Green automobiles,Sports sedans,ARO vehicles,Vehicles introduCED in 1937,Luxury vehicles,Chevrolet vehicles,sedans,International buses,Elfin vehicles,Companies disestablished in 1929,Rolls-Royce vehicles,Reliant vehicles,Vehicles introduCED in 1941,Vehicles introduCED in 1903,Sports racing cars,Vehicles introduCED in 1906,Mercedes-Benz vehicles,Yamaha vehicles,Vehicles with CVT transmission,Citroën vehicles,Grand Prix cars,Cars of China,Taxicabs of the united kingdom,Caterham vehicles,Vehicles introduCED in 1909,Electric vehicles,Volvo truCks,Scottish Aviation cars,Motor vehicle manuFACturers of Denmark,German military vehicles,convertibles,Vehicles introduCED in 1914,Vehicles introduCED in 1912,Bedford truCk,Military truCks,Bowin Cars,front wheel drive vehicles,SuBAru vehicles,Companies based in Catalonia,Hatchback vehicles,Gas turbine cars,Rambler vehicles,Military recovery vehicles,Vehicles introduCED in 1967,Ford engines,Vehicles introduCED in 1968,Datsun vehicles,Automotive technologies,Cars of Serbia,Vehicles introduCED in 1974,Companies established in 1924,Mercedes-Benz platforms,Companies based in Surrey,Articulated vehicles,Defunct companies based in Michigan,Euro NCAP roadster sports cars,GTM vehicles,Uk taxis,Jet land speed record cars,Vehicles with Wankel engines,Formula One construCtors,Companies disestablished in the 1910s,Euro NCAP small family cars,Vehicles introduCED in 1979,Cars of Nigeria,Vehicles introduCED in 1976,Cars of Germany,HSV vehicles,Nissan concept vehicles,Vehicles introduCED in 1981,Vehicles introduCED in 1986,Vector Motors,Hillman vehicles,Proposed American weapons,Electric city cars,American Motors Company,BMC vehicles,Vehicles introduCED in 1948,Vehicles introduCED in 1949,Vehicles introduCED in 1944,Knowledge of london,Cars of India,Vehicles introduCED in 1953,Electric land speed record cars,Defunct brands,Steam automobiles,Three-wheeled motor vehicles,Lister vehicles,Motorcycle manuFACturers of the United States,Vehicles introduCED in 1959,Vehicles introduCED in 1955,Defunct motor vehicle manuFACturers of Canada,Willys vehicles,Brass Era vehicles,2000s automobiles,DKW vehicles,Upcoming automobiles,Amphibious vehicles,Dodge vehicles,Pickup truCks,Koenigsegg vehicles,Battery electric vehicles,Citroën concept vehicles,Taxicabs of the United Kingdom,Sports prototypes,Historic electric vehicles,Lotus Formula One cars,Rootes vehicles,Suzuki vehicles,Flexible-fuEl vehicles,Bentley vehicles,Hatchbacks,MG vehicles,Westfield vehicles,Concept automobiles,Sedans,World War II German vehicles,Defunct motor vehicle manuFACturers of the United States,Minicab,NSU vehicles,front-engined vehicles,Convertibles,Station wagons,Coventry motor companies,Hotchkiss vehicles,gas turbine cars,Cars of Britain,Australian cars,Vector Motors Corporation,Defunct companies based in Massachusetts,Thomas Built Buses,Monteverdi vehicles,Vehicles introduCED in 1995,Military vehicles of India,Vehicles introduCED in 1993,Full-size vehicles,Mitsuoka vehicles,Rover vehicles,Vehicles introduCED in 2007,Euro NCAP executive cars,BYD vehicles,Vehicles introduCED in 1989,Vehicles introduCED in 2003,Military vehicles of Canada,MitsuBishi Motors suBsidiaries,TruCks of India,UK cars,Vehicles introduCED in 2000,TechArt vehicles,BMW concept vehicles,Issigonis vehicles,Bedford vehicles,Kei cars,Companies established in 1906,Stutz vehicles,Automobile,Volvo military vehicles,Front wheel drive vehicles,Automobiles powered by 16 cylinder engines,hatchbacks,Tasman Series cars,Vehicles introduCED in 1999,Vehicles introduCED in 1998,Panther vehicles,Sunbeam vehicles,Geely vehicles,Kart models,Autozam vehicles,Vehicles with four wheel steering,Hybrid electric cars,Vector Aeromotive Corporation,Super Ultra Low Emission Vehicles,concept automobiles,Lotus Seven replicas,Mercury vehicles,Volvo concept vehicles,Automobiles,American Motors Corporation,Lancia vehicles,1960s automobiles,Kawasaki motorcycles,Volvo TruCks,Ford vehicles,Compact cars,Electric motorcycles,Vector Supercars,Ferrari Formula One cars,Town cars,Hyundai vehicles,Cycle manuFACturers,Isotta Fraschini vehicles,Thomas Built Buses Inc.,Nissan vehicles,Taxicabs in the United Kingdom,Komatsu vehicles,ZF Friedrichshafen transmissions,Vector,TruCks,Automotive suspension technologies,Eagle vehicles,Matra vehicles,Cadillac vehicles,American Motors,Bowin cars,KTM vehicles,Companies based in Detroit,Michigan,Front-engined vehicles,Toyota concept vehicles,Ferrari vehicles,Cars of Pakistan,Galloper vehicles,Bedford Vehicles,Vector Aeromotive,Shelby vehicles,Autobianchi vehicles,Ascari vehicles,Scania vehicles
called after	dbp:shipNamesake	Ship tonnage,Ship badge,Ship length,Ship owner,Ship speed,Ship built,Ship in service,builder,homeport,Ship route,country,Ship name,Ship crew,owner,Ship registry,Ship launched,Ship operator,Ship homeport
married to	dbp:spouse	DATE OF BIRTH,term start,issue,reign,children,class,lieutenant,styles,better half,rows,regent,order,term end,spouse,DATE OF DEATH,partner,birth date,years,married person,mate
join the EU	dbp:accessioneudate	area magnitude,ethnic groups,Aug rain days,established date,Jul record low C,year snow days,percent water,Jun rain days,Jun precipitation days,Jul precipitation mm,title,Jul rain days,value,HDI,Aug precipitation days
highest	dbo:elevation	elevation (μ),longm,elevation,May low C,area total km,elevation m,latm
higher	dbp:elevationM	elevation (μ),longs,elevation ft,elevation m,latm
daughter	dbo:child	home town,birth place,youngster,successor,nestling,minor,children,Child,kid,child,after,tike,spouse,PLACE OF DEATH,small fry,influenced,baby,offspring,occupation,PLACE OF BIRTH,shaver,known for,tyke,tiddler,nipper,residence,consort,death place,fry
dwelt	dbp:abode	region,God of,location,Abode
spoken	dbo:language,dbo:spokenIn	OfficialLang,Language,language,official languages,official language,Languages,region,spoken in,states
alive	dbo:deathDate	reign,death date,DATE OF DEATH
